                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.29026,                0.24359,                0.29385,                0.88925,                0.96773,                0.96635,                 0.9887,                0.96727,                0.96773,                0.96635,                 0.9887,                 0.9674,                  0.244,                0.19456,                0.25952,                0.87406,              0.0017303,              0.0017303,              0.0017303
                     84,                0.29586,                 0.2335,                0.29345,                0.89458,                0.96927,                0.96177,                0.98838,                0.96654,                0.97139,                0.96387,                 0.9886,                0.95229,                0.26078,                0.21279,                0.26686,                0.88605,              0.0017269,              0.0017269,              0.0017269
                     85,                 0.2983,                0.23732,                0.30081,                 0.8899,                0.97991,                0.97468,                0.99234,                0.97603,                0.97991,                0.97468,                0.99235,                0.96906,                  0.241,                0.18961,                0.24148,                 0.8658,              0.0017236,              0.0017236,              0.0017236
                     86,                 0.3066,                0.24503,                0.29853,                0.89982,                0.97254,                 0.9684,                0.98919,                0.97031,                0.97149,                0.96735,                0.98901,                0.96245,                0.24237,                0.22428,                 0.2482,                0.87223,              0.0017203,              0.0017203,              0.0017203
                     87,                0.29741,                0.23074,                0.30263,                0.89519,                0.97116,                0.96951,                0.98945,                 0.9701,                0.96597,                0.97266,                0.98962,                0.96419,                0.25039,                 0.1974,                0.24797,                0.87701,               0.001717,               0.001717,               0.001717
                     88,                0.29101,                0.24045,                0.29513,                0.89247,                0.97926,                0.97161,                0.99068,                0.97347,                0.97926,                0.97161,                0.99068,                 0.9606,                0.23704,                0.21955,                0.24447,                0.86779,              0.0017136,              0.0017136,              0.0017136
                     89,                0.28466,                0.24147,                0.28898,                0.88407,                 0.9728,                0.97777,                0.99168,                0.97663,                0.97385,                0.97882,                0.99194,                0.96814,                0.23375,                 0.1835,                0.23428,                0.86086,              0.0017103,              0.0017103,              0.0017103
                     90,                0.28053,                0.22971,                0.28837,                0.88594,                0.97661,                0.96578,                0.98514,                0.96047,                0.97661,                0.96578,                0.98529,                0.95229,                0.25245,                0.21839,                0.25781,                0.88728,               0.001707,               0.001707,               0.001707
                     91,                0.28516,                0.23607,                0.28848,                0.88594,                0.97263,                0.97171,                0.99227,                0.97693,                0.97263,                0.97171,                0.99222,                0.97092,                0.22826,                0.17807,                0.23559,                0.86097,              0.0017036,              0.0017036,              0.0017036
                     92,                0.28856,                0.23153,                0.28699,                0.88644,                0.97348,                0.96506,                0.99063,                0.97757,                0.97348,                0.96506,                0.99089,                 0.9674,                0.21494,                0.18872,                0.24652,                0.85961,              0.0017003,              0.0017003,              0.0017003
                     93,                0.28107,                0.22881,                0.28894,                0.88025,                0.97109,                0.98212,                0.99086,                0.98184,                0.97109,                0.98212,                0.99086,                0.96775,                0.21673,                0.17294,                0.23326,                 0.8501,               0.001697,               0.001697,               0.001697
                     94,                0.27306,                0.23295,                0.28027,                0.87617,                0.96679,                0.97942,                0.98988,                0.97609,                0.96679,                0.97942,                0.98988,                 0.9639,                 0.2166,                 0.1958,                0.23453,                0.84769,              0.0016936,              0.0016936,              0.0016936
                     95,                0.27021,                0.22649,                0.27761,                0.87964,                0.97706,                 0.9674,                0.99012,                 0.9748,                0.97111,                0.97371,                0.99075,                0.96476,                0.22299,                0.18697,                0.23592,                 0.8577,              0.0016903,              0.0016903,              0.0016903
                     96,                0.27475,                0.23705,                0.27934,                0.87925,                0.97367,                0.97687,                0.99025,                0.97805,                0.97367,                0.97687,                0.98991,                0.96679,                0.22031,                0.18897,                0.24541,                0.85662,               0.001687,               0.001687,               0.001687
                     97,                0.28376,                0.24171,                 0.2833,                0.87883,                0.97369,                0.97275,                0.98929,                0.97502,                0.97369,                0.97275,                0.98932,                0.96787,                0.22834,                0.18804,                0.24428,                0.86009,              0.0016837,              0.0016837,              0.0016837
                     98,                0.27485,                0.22406,                0.27697,                0.87562,                0.97453,                0.96549,                0.98933,                0.97191,                0.97453,                0.96549,                0.98931,                0.96294,                0.22398,                0.20619,                0.24593,                0.86277,              0.0016803,              0.0016803,              0.0016803
                     99,                0.27879,                0.24337,                0.28447,                0.87919,                0.96873,                0.97725,                0.99132,                0.97491,                0.96873,                0.97725,                0.99132,                0.96889,                0.23569,                0.17901,                0.23992,                0.86439,               0.001677,               0.001677,               0.001677
                    100,                0.28207,                0.22434,                0.28838,                0.87756,                0.97217,                0.97476,                 0.9903,                0.97719,                0.97217,                0.97476,                0.99029,                 0.9678,                 0.2189,                 0.1895,                0.23429,                0.85793,              0.0016737,              0.0016737,              0.0016737
                    101,                0.27449,                0.23557,                 0.2736,                0.87544,                0.97679,                0.92935,                0.97975,                0.95751,                  0.979,                0.93145,                0.98184,                0.95083,                0.24922,                 0.2549,                0.30058,                0.88457,              0.0016703,              0.0016703,              0.0016703
                    102,                0.26343,                0.21482,                0.27158,                0.87766,                0.97569,                0.97052,                0.99074,                0.97958,                0.97569,                0.97052,                0.99074,                0.97093,                 0.1977,                0.16434,                0.22304,                 0.8405,               0.001667,               0.001667,               0.001667
                    103,                0.27701,                 0.2125,                0.27426,                0.87416,                0.97682,                0.97487,                0.99212,                0.97902,                0.97682,                0.97487,                0.99212,                0.96998,                0.22279,                0.16904,                0.23109,                0.85431,              0.0016637,              0.0016637,              0.0016637
                    104,                 0.2856,                0.22431,                0.27615,                0.88111,                0.98164,                0.95558,                0.98522,                0.97144,                0.98164,                0.95558,                0.98522,                0.96164,                0.21017,                0.18725,                0.25184,                0.84938,              0.0016603,              0.0016603,              0.0016603
